idrbd,nom_rbd,cod_reg_rbd,cod_pro_rbd,cod_com_rbd,nom_com_rbd,cod_deprov_rbd,nom_deprov_rbd,rural_rbd,efectivr,superar,iniciar,mejorar,integrar,igualdr,cluster,indicer,sel2016_25,sel2016_35,sel
1557,ESCUELA VILLA BERLIN,5,51,5101,VALPARAISO,53,VALPARAISO,1,56.990702,46.766019,96.13,74.074074,82.333333,94.471113,513,66.33063799999999,2,1,2
1563,ESCUELA JUAN WACQUEZ MOURFIN,5,51,5101,VALPARAISO,53,VALPARAISO,1,48.231126,61.806655,0,81.481481,0,95.826821,513,57.86291,2,2,3
1567,ESCUELA BASICA DAVID BEN GURION,5,51,5101,VALPARAISO,53,VALPARAISO,1,41.607542,39.886955,0,55.555556,0,94.37821099999999,513,48.437456,2,2,3
1568,ESCUELA REPUBLICA ARGENTINA,5,51,5101,VALPARAISO,53,VALPARAISO,1,56.59034,41.119099,88.08,74.074074,75.416667,95.393961,512,63.97556,2,2,3
1569,ESCUELA PILOTO 1Â° LUIS PARDO VILLALON,5,51,5101,VALPARAISO,53,VALPARAISO,1,63.579268,51.512754,88.09999999999999,74.074074,94.166667,97.817095,512,70.943476,1,2,1
1570,ESCUELA BASICA CIRUJANO VIDELA,5,51,5101,VALPARAISO,53,VALPARAISO,1,56.722461,45.274198,91.7,73.876543,83.916667,97.19592900000001,513,66.222554,2,1,2
1571,ESCUELA SAN JUDAS TADEO,5,51,5101,VALPARAISO,53,VALPARAISO,1,51.267507,41.588566,89.98,74.074074,85.25,95.407741,513,62.74626,2,2,3
1573,ESCUELA DR. ERNESTO QUIROZ WEBER,5,51,5101,VALPARAISO,53,VALPARAISO,1,52.164677,42.173959,73.20999999999999,74.074074,32.166667,94.913837,513,59.473098,2,2,3
1577,ESCUELA BASICA LAGUNA VERDE,5,51,5101,VALPARAISO,53,VALPARAISO,1,55.789255,34.336198,97.7,74.074074,97.5,96.30050900000001,513,63.660753,2,2,3
1578,ESCUELA TTE. JULIO A. ALLENDE OVALLE,5,51,5101,VALPARAISO,53,VALPARAISO,1,39.287775,43.748971,0,55.555556,0,95.598073,513,48.928876,2,2,3
1579,LICEO SANTA TERESA,5,51,5101,VALPARAISO,53,VALPARAISO,1,61.6434,40.669458,79.40000000000001,92.59259299999999,73.333333,95.550545,532,65.499145,2,2,3
1580,COLEGIO PRESBIT. DAVID TRUMBULL,5,51,5101,VALPARAISO,53,VALPARAISO,1,75.91909800000001,40.053329,63.8,92.59259299999999,29.416667,96.49663,531,67.68494200000001,2,2,3
1581,LICEO JUANA ROSS DE EDWARDS,5,51,5101,VALPARAISO,53,VALPARAISO,1,81.397863,47.075353,80.05,92.59259299999999,71.916667,97.25957800000001,531,74.946101,2,1,2
1582,COLEGIO LUTERANO CONCORDIA,5,51,5101,VALPARAISO,53,VALPARAISO,1,70.743647,47.523063,76.94,92.59259299999999,59.25,96.27306299999999,532,70.092433,2,2,3
1583,COLEGIO JEANNE DARC VALPARAISO,5,51,5101,VALPARAISO,53,VALPARAISO,1,55.264239,45.337437,69.81999999999999,74.074074,33,95.50563099999999,512,61.474171,2,2,3
1584,COLEGIO NOCTURNO RUBEN CASTRO,5,51,5101,VALPARAISO,53,VALPARAISO,1,67.761774,47.341215,0,92.59259299999999,0,84.118394,532,58.685295,2,2,3
1585,LICEO COEDUCACIONAL LA IGUALDAD,5,51,5101,VALPARAISO,53,VALPARAISO,1,65.14623,52.143122,76.2,62.962963,79.333333,87.53672400000001,532,67.760184,2,2,3
