Código Establecimiento,Nombre Establecimiento,Dependencia Establecimiento,Nombre Región,Nombre Comuna,Área Geográfica,Niños con Desnutrición,Prevalencia Desnutrición Niños,Niñas con Desnutrición,Prevalencia Desnutrición Niñas,Niños con Bajo Peso,Prevalencia Bajo Peso Niños,Niñas con Bajo Peso,Prevalencia Bajo Peso Niñas,Niños con Peso Normal,Prevalencia Peso Normal Niños,Niñas con Peso Normal,Prevalencia Peso Normal Niñas,Niños con Sobrepeso,Prevalencia Sobrepeso Niños,Niñas con Sobrepeso,Prevalencia Sobrepeso Niñas,Niños con Obesidad,Prevalencia Obesidad Niños,Niñas con Obesidad,Prevalencia Obesidad Niñas,Niños con Retraso en talla,Prevalencia Retraso en talla Niños,Niñas con Retraso en talla,Prevalencia Retraso en talla Niñas,Total Niños,Total Niñas
365,COLEGIO EAGLE SCHOOL,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,1,"2,5",1,"2,7",3,"7,5",0,"0,0",20,"50,0",21,"56,8",10,"25,0",12,"32,4",6,"15,0",3,"8,1",0,"0,0",0,"0,0",40,37
10968,LICEO MAYOR GRAL.(E) OSCAR BONILLA,Municipal,Región de Antofagasta,Antofagasta,URBANO,5,"3,4",0,"0,0",5,"3,4",4,"5,6",69,"47,3",35,"48,6",43,"29,5",18,"25,0",24,"16,4",15,"20,8",2,"1,4",0,"0,0",146,72
12800,COLEGIO BAUTISTA LOIS HART,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",12,"75,0",7,"41,2",2,"12,5",5,"29,4",2,"12,5",5,"29,4",0,"0,0",3,"17,6",16,17
12802,FUND.EDUC.COL.FEMENINO MADRE DEL ROSARIO,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",20,"44,4",0,"0,0",19,"42,2",0,"0,0",6,"13,3",0,"0,0",3,"6,7",0,45
12830,LICEO DE ESTUDIOS CONTABLES Y ADMINISTR.,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,1,"1,9",0,"0,0",3,"5,6",5,"6,3",30,"55,6",34,"42,5",10,"18,5",26,"32,5",10,"18,5",15,"18,8",2,"3,7",5,"6,3",54,80
12837,COLEGIO PARTICULAR BET- EL,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",0,"0,0",0,"0,0",2,"7,4",3,"30,0",14,"51,9",2,"20,0",7,"25,9",5,"50,0",4,"14,8",0,"0,0",0,"0,0",10,27
12855,LICEO COMERCIAL COMPUTACIONAL STA SARA,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,2,"5,9",0,"0,0",3,"8,8",2,"4,3",9,"26,5",18,"38,3",14,"41,2",17,"36,2",6,"17,6",10,"21,3",0,"0,0",1,"2,1",34,47
12868,COLEGIO EBEN EZER,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",0,"0,0",1,"7,1",3,"9,1",6,"42,9",14,"42,4",1,"7,1",11,"33,3",6,"42,9",5,"15,2",2,"14,3",2,"6,1",14,33
12885,COLEGIO SAN AGUSTIN,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,2,"3,2",0,"0,0",1,"1,6",1,"1,9",31,"50,0",26,"49,1",19,"30,6",19,"35,8",9,"14,5",7,"13,2",4,"6,5",0,"0,0",62,53
12891,NEW HEAVEN HIGH SCHOOL,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,2,"4,1",0,"0,0",4,"8,2",2,"2,6",27,"55,1",33,"43,4",5,"10,2",27,"35,5",11,"22,4",14,"18,4",0,"0,0",2,"2,6",49,76
