idrbd,dnino,dnina,bpnino,bpnina,nnino,nnina,snino,snina,onino,onina,rtnino,rtnina,tnino,tnina,total
20136,0,0,1,0,8,1,7,2,3,3,0,2,19,6,25
5282,0,0,2,3,45,67,32,41,20,14,2,4,99,125,224
5315,0,0,3,3,36,41,12,31,4,13,2,0,55,88,143
5343,1,0,1,0,27,11,24,11,10,7,2,1,63,29,92
5344,0,0,4,0,32,60,29,27,5,8,0,1,70,95,165
5374,0,0,3,0,8,5,9,13,4,3,0,2,24,21,45
5323,1,0,4,4,46,45,20,23,8,10,3,4,79,82,161
19913,1,0,2,1,10,20,13,11,6,7,0,0,32,39,71
20103,0,0,3,3,13,7,8,4,9,2,2,0,33,16,49
5507,0,0,1,0,18,17,18,19,14,10,1,6,51,46,97
5509,1,1,0,0,15,17,8,13,0,5,0,1,24,36,60
5270,0,1,1,3,9,11,15,12,11,10,1,3,36,37,73
5274,0,0,0,1,14,10,4,4,2,0,1,0,20,15,35
5439,1,1,1,1,25,18,13,17,1,4,3,1,41,41,82
5440,0,0,0,1,17,18,10,13,10,12,1,0,37,44,81
5465,1,2,3,3,23,21,9,9,2,2,1,0,38,37,75
5467,0,0,2,0,27,9,15,10,15,3,3,1,59,22,81
20194,0,0,1,0,4,4,3,1,0,4,0,0,8,9,17
5393,0,0,8,3,63,56,41,33,30,35,8,8,142,127,269
5394,1,0,1,2,25,28,17,22,12,11,1,0,56,63,119
5434,0,0,4,2,20,13,16,15,9,10,0,1,49,40,89
5435,0,0,4,2,23,24,8,12,4,4,1,3,39,42,81
20008,0,0,2,6,13,18,2,9,7,2,0,1,24,35,59
20052,0,0,2,0,12,10,7,5,5,6,3,1,26,21,47
7625,3,1,9,1,23,2,21,0,8,3,2,1,64,7,71
7626,0,0,2,0,32,34,27,32,7,17,4,4,68,83,151
7627,11,0,22,0,135,0,58,0,29,0,8,0,255,0,255
7628,0,0,0,5,0,85,0,30,0,20,0,3,0,140,140
7629,0,1,3,3,49,33,25,34,20,12,5,6,97,83,180
7639,0,1,1,0,21,15,10,15,7,3,2,2,39,34,73
7650,0,0,1,0,8,6,6,8,5,4,1,2,20,18,38
7651,0,0,2,0,19,9,7,3,6,5,3,2,34,17,51
7699,1,0,6,4,83,54,39,38,24,17,7,5,153,113,266
7701,0,0,3,1,20,27,10,17,6,6,0,3,39,51,90
7705,0,0,0,3,0,59,0,80,0,37,0,5,0,179,179
7706,1,0,2,1,35,29,13,12,6,5,1,3,57,47,104
7707,0,0,1,3,4,28,3,13,2,7,0,0,10,51,61
7709,0,0,0,2,0,31,0,31,0,11,0,5,0,75,75
20376,1,0,1,2,13,13,7,5,1,4,1,3,23,24,47
20409,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
22086,1,0,0,1,11,6,5,1,7,3,0,3,24,11,35
22192,0,0,1,1,20,25,14,13,9,4,1,2,44,43,87
22200,0,0,1,1,13,16,11,10,8,3,1,1,33,30,63
22306,0,0,1,0,5,5,2,5,3,2,0,0,11,12,23
22356,2,0,3,0,14,11,7,5,4,4,1,1,30,20,50
22434,2,0,10,3,42,67,21,27,4,2,5,2,79,99,178
22461,0,0,0,0,23,18,12,4,12,6,2,1,47,28,75
22467,0,0,0,1,6,3,3,2,0,1,1,0,9,7,16
22494,2,0,3,2,47,38,37,41,26,33,5,9,115,114,229
22499,0,0,0,2,18,20,11,12,9,4,0,0,38,38,76
22543,0,0,3,1,48,55,46,49,15,12,7,6,112,117,229
22544,0,0,2,0,6,8,2,6,4,2,0,2,14,16,30
22553,0,0,0,0,31,21,40,14,23,5,3,5,94,40,134
22560,0,0,0,2,16,15,9,21,2,4,0,3,27,42,69
22664,0,2,1,3,22,31,14,15,15,9,3,4,52,60,112
22702,1,0,5,2,15,20,17,14,11,13,2,6,49,49,98
40256,0,0,2,3,26,25,17,29,11,14,1,3,56,71,127
40285,0,0,0,1,4,11,2,4,2,2,0,0,8,18,26
40316,1,0,1,0,11,14,5,3,1,1,0,0,19,18,37
40343,0,0,2,3,17,15,2,11,6,6,2,0,27,35,62
40351,0,0,0,0,10,11,1,2,2,3,0,0,13,16,29
7772,2,0,5,2,43,34,30,22,14,14,3,6,94,72,166
7773,0,0,1,1,8,15,6,4,1,6,0,0,16,26,42
7775,0,0,0,0,8,5,4,5,2,1,0,1,14,11,25
7776,0,0,0,0,10,7,2,3,1,1,1,0,13,11,24
7826,1,0,6,4,22,33,11,24,12,10,2,3,52,71,123
22691,1,0,0,2,32,25,8,24,6,17,2,0,47,68,115
7753,0,0,0,0,3,2,3,1,0,1,0,0,6,4,10
7760,0,0,0,0,5,4,4,2,0,1,0,0,9,7,16
7941,0,0,3,1,26,19,19,18,12,10,2,0,60,48,108
7942,0,0,6,2,19,15,3,7,6,4,0,0,34,28,62
7973,1,0,3,0,66,7,45,9,33,4,4,0,148,20,168
7989,0,0,1,0,8,6,4,14,2,4,1,1,15,24,39
22022,0,0,0,1,21,31,12,9,9,16,6,5,42,57,99
7872,0,0,0,0,7,5,4,6,1,2,0,0,12,13,25
7907,0,0,0,5,20,30,16,15,7,4,1,1,43,54,97
22012,0,0,0,1,11,4,7,4,9,4,2,0,27,13,40
22262,0,0,0,3,10,15,6,8,2,5,0,1,18,31,49
22309,0,0,2,2,16,10,6,13,7,9,3,0,31,34,65
7956,3,1,7,5,29,28,7,20,13,15,1,0,59,69,128
22602,0,0,1,0,11,8,3,2,5,4,0,0,20,14,34
7830,0,0,0,0,13,5,1,10,3,6,2,3,17,21,38
22655,1,3,0,3,23,31,16,9,6,6,0,1,46,52,98
7720,1,0,4,2,42,16,20,16,6,4,4,1,73,38,111
7722,2,0,0,1,9,5,10,5,4,3,0,0,25,14,39
7724,0,0,2,0,10,5,5,5,5,4,1,1,22,14,36
7743,0,0,1,1,32,42,17,24,9,9,3,4,59,76,135
7744,1,0,2,2,20,26,11,12,7,5,2,1,41,45,86
22478,0,0,2,1,25,25,19,28,12,23,2,3,58,77,135
22672,0,0,1,0,12,9,3,7,1,3,0,0,17,19,36
8001,1,0,8,4,81,79,56,58,28,33,7,10,174,174,348
8002,0,0,8,1,36,62,24,48,14,21,3,2,82,132,214
22065,0,0,0,0,15,15,6,16,5,15,0,3,26,46,72
22155,0,0,0,0,11,8,5,6,2,1,0,0,18,15,33
22211,1,1,1,1,6,13,2,1,1,4,0,0,11,20,31
22504,0,0,2,0,18,17,14,24,14,10,3,2,48,51,99
40455,0,0,0,1,6,0,4,2,3,4,0,1,13,7,20
40457,0,0,1,2,12,8,12,16,10,3,0,0,35,29,64
8044,0,0,0,0,12,8,5,10,1,3,2,0,18,21,39
8105,2,2,3,4,28,40,23,34,8,10,2,1,64,90,154
8108,0,0,2,0,53,41,40,50,41,36,6,11,136,127,263
8109,1,1,7,3,45,66,25,38,15,23,2,6,93,131,224
22151,1,0,0,1,16,6,8,4,3,1,3,1,28,12,40
22210,1,0,1,0,4,3,4,4,2,2,0,0,12,9,21
22505,0,0,0,0,5,2,3,0,1,2,0,0,9,4,13
22536,0,0,0,0,7,2,4,4,0,2,0,0,11,8,19
8206,0,0,0,0,9,17,14,22,12,8,1,1,35,47,82
12192,3,0,4,0,72,24,58,18,38,17,12,10,175,59,234
8162,0,0,0,0,19,27,6,20,2,9,2,0,27,56,83
22464,1,1,1,1,23,13,10,8,7,6,1,0,42,29,71
22674,0,0,0,2,13,11,5,11,4,5,0,2,22,29,51
8255,0,0,4,1,45,26,22,28,7,17,1,4,78,72,150
16985,0,0,1,0,8,17,7,6,8,7,1,3,24,30,54
22196,0,0,1,0,4,5,3,3,3,4,1,0,11,12,23
22330,0,0,1,0,9,13,4,2,0,3,0,0,14,18,32
22597,0,0,0,0,5,7,4,16,3,6,1,3,12,29,41
40301,0,0,2,0,27,25,23,27,18,19,2,2,70,71,141
8111,0,0,2,1,12,14,3,11,5,4,2,2,22,30,52
8174,0,0,0,0,23,29,38,34,13,14,7,5,74,77,151
8194,1,0,1,0,12,15,10,18,6,4,0,1,30,37,67
7325,1,0,4,6,68,73,45,72,29,26,1,5,147,177,324
7326,1,0,2,0,84,5,47,3,35,3,3,0,169,11,180
7328,1,0,2,0,24,33,18,33,16,23,3,6,61,89,150
7329,1,2,5,3,68,83,32,54,25,27,3,11,131,169,300
7331,1,0,5,3,48,81,32,51,20,20,3,8,106,155,261
7388,0,0,4,3,15,20,8,10,1,3,0,0,28,36,64
7401,0,0,3,0,16,23,10,18,7,6,0,1,36,47,83
12183,0,1,2,1,6,14,5,4,0,0,0,0,13,20,33
22007,0,0,2,0,6,8,4,8,0,9,1,0,12,25,37
22029,0,0,0,0,9,9,3,4,1,2,0,0,13,15,28
22114,0,0,1,0,6,3,9,9,4,1,2,0,20,13,33
22191,0,0,3,1,19,19,12,18,9,5,2,2,43,43,86
22224,0,0,1,2,4,5,4,6,2,1,0,0,11,14,25
22236,1,0,2,2,11,11,13,7,1,7,0,1,28,27,55
22270,0,0,0,0,0,14,0,9,0,10,0,2,0,33,33
22271,1,0,3,2,12,26,8,28,7,20,1,4,31,76,107
22397,2,0,0,0,15,16,6,16,4,5,1,4,27,37,64
22410,0,0,4,5,19,20,10,11,3,3,0,0,36,39,75
22436,1,0,4,3,31,22,14,15,12,14,1,0,62,54,116
22523,0,0,0,0,6,3,0,3,2,2,0,0,8,8,16
22542,0,0,2,0,9,9,3,7,2,2,1,2,16,18,34
22564,1,1,5,0,24,9,13,10,13,6,2,1,56,26,82
22626,0,0,2,0,25,10,15,2,11,3,1,1,53,15,68
40284,0,0,1,0,8,7,6,3,1,4,0,0,16,14,30
40390,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
22050,0,0,2,2,16,9,6,6,7,9,4,2,31,26,57
22234,0,0,0,0,13,5,5,9,3,6,1,2,21,20,41
7505,2,0,3,1,27,29,14,21,13,10,3,3,59,61,120
7536,0,0,3,2,26,16,14,16,7,6,1,1,50,40,90
22322,0,0,0,0,9,4,7,2,4,2,1,1,20,8,28
22358,0,0,3,0,15,9,3,7,5,3,2,1,26,19,45
7470,0,0,3,2,34,28,16,22,8,13,4,5,61,65,126
22021,0,0,1,0,13,12,4,11,3,5,0,0,21,28,49
7542,0,0,0,1,13,6,7,10,4,4,5,1,24,21,45
7544,0,0,0,1,6,12,4,8,3,2,2,0,13,23,36
7572,0,0,0,0,7,10,8,5,7,3,1,1,22,18,40
7578,0,0,4,0,37,25,12,19,14,6,0,0,67,50,117
7614,0,0,0,0,8,12,6,8,0,1,1,1,14,21,35
22084,0,0,0,0,8,4,3,7,1,5,1,1,12,16,28
7441,0,0,0,0,3,7,1,3,1,3,0,1,5,13,18
22113,0,0,1,0,14,25,9,19,11,11,1,2,35,55,90
8309,0,0,0,0,12,3,4,7,2,2,1,1,18,12,30
22083,0,0,0,0,11,10,6,2,5,6,0,2,22,18,40
8331,0,0,5,0,6,5,1,2,3,5,1,0,15,12,27
8310,0,0,1,1,17,11,6,3,1,1,0,1,25,16,41
22027,0,0,0,0,9,13,7,9,5,5,0,1,21,27,48
22641,0,0,0,1,4,3,8,11,5,3,0,0,17,18,35
8339,0,0,2,0,8,7,2,5,4,0,1,0,16,12,28
8345,3,0,1,3,21,18,12,16,5,15,2,5,42,52,94
8352,0,0,0,0,9,3,8,5,8,3,1,1,25,11,36
8365,1,1,10,5,40,60,14,31,9,8,0,4,74,105,179
8367,0,0,1,0,12,9,4,20,9,5,3,1,26,34,60
8369,1,0,5,0,20,5,9,2,2,3,0,0,37,10,47
11608,2,0,3,1,59,35,25,29,17,19,3,4,106,84,190
24206,0,1,2,4,10,17,8,6,9,3,2,1,29,31,60
24224,0,0,2,2,20,11,10,15,5,6,2,0,37,34,71
24231,0,0,1,1,12,5,2,10,0,1,1,0,15,17,32
24233,0,0,0,0,5,3,3,4,0,3,0,1,8,10,18
24240,0,0,4,1,18,14,9,8,7,3,2,0,38,26,64
8375,1,0,1,0,18,20,12,11,10,10,2,6,42,41,83
8380,0,1,1,2,2,4,4,3,0,0,0,0,7,10,17
24203,0,0,1,0,14,10,4,7,11,8,0,0,30,25,55
24207,0,0,2,0,16,9,10,17,11,10,0,2,39,36,75
24209,0,0,4,0,8,7,8,11,8,6,0,1,28,24,52
24213,0,1,2,0,7,6,8,7,1,2,0,0,18,16,34
24230,0,0,1,0,13,9,13,16,5,4,1,1,32,29,61
8391,0,0,0,0,2,2,4,10,3,4,0,0,9,16,25
24204,0,0,0,0,13,10,12,6,8,7,2,3,33,23,56
8392,0,0,0,0,5,9,1,4,4,0,0,1,10,13,23
24201,2,0,4,1,15,11,8,7,5,4,1,0,34,23,57
8394,0,0,1,0,15,16,12,6,6,6,0,1,34,28,62
8403,0,0,1,0,2,3,0,1,1,4,0,0,4,8,12
8424,0,0,3,0,34,37,21,29,18,21,1,5,76,87,163
8425,0,1,1,1,14,26,15,33,10,14,2,1,40,75,115
8427,1,0,2,0,42,4,28,1,16,2,0,0,89,7,96
8429,1,0,7,3,23,35,15,21,9,13,1,1,55,72,127
8430,1,0,1,1,4,18,2,4,2,3,1,1,10,26,36
8442,1,0,2,0,6,5,5,4,3,2,1,0,17,11,28
8454,1,0,7,0,51,0,39,0,26,0,2,0,124,0,124
8455,0,0,0,4,0,40,0,28,0,11,0,4,0,83,83
8457,0,0,0,4,0,31,0,20,0,14,0,5,0,69,69
8458,0,0,1,0,5,11,3,7,2,11,0,1,11,29,40
11678,0,0,1,0,6,11,3,8,6,2,0,0,16,21,37
11680,0,0,1,0,8,7,2,7,2,3,0,0,13,17,30
24305,0,0,1,0,8,9,5,3,8,4,1,0,22,16,38
24307,0,1,5,4,25,26,22,17,10,9,0,0,62,57,119
24316,1,1,2,1,27,11,18,23,20,12,4,3,68,48,116
24319,0,0,2,1,11,19,10,12,5,1,1,1,28,33,61
24327,0,0,4,2,23,23,11,14,6,7,0,1,44,46,90
24329,1,0,2,0,59,0,32,0,10,0,2,0,104,0,104
24338,0,0,1,0,7,8,3,7,5,3,0,1,16,18,34
8483,0,0,0,0,7,7,3,6,4,3,0,0,14,16,30
